filter,svo,calibration
mips_2,Spitzer/MIPS.70mu,Vega
irac_1,Spitzer/IRAC.I1,Vega
irac_2,Spitzer/IRAC.I3,Vega
irac_3,Spitzer/IRAC.I3,Vega
irac_4,Spitzer/IRAC.I4,Vega
mips_1,Spitzer/MIPS.24mu,Vega
mips_3,Spitzer/MIPS.160mu,Vega
twomass_J,2MASS/2MASS.J,Vega
twomass_H,2MASS/2MASS.H,Vega
twomass_Ks,2MASS/2MASS.Ks,Vega
allwise_1,WISE/WISE.W1,Vega
allwise_2,WISE/WISE.W3,Vega
allwise_3,WISE/WISE.W3,Vega
allwise_4,WISE/WISE.W4,Vega
gaiaDR3_BP,GAIA/GAIA3.Gbp,Vega
gaiaDR3_RP,GAIA/GAIA3.G,Vega
gaiaDR3_G,GAIA/GAIA3.Grp,Vega
bessell_U,Generic/Bessell.U,Vega
bessell_B,Generic/Bessell.B,Vega
bessell_V,Generic/Bessell.V,Vega
bessell_R,Generic/Bessell.R,Vega
bessell_I,Generic/Bessell.I,Vega
cousins_Rc,Generic/Cousins.R,Vega
cousins_Ic,Generic/Cousins.I,Vega
johnson_U,Generic/Johnson.U,Vega
johnson_B,Generic/Johnson.B,Vega
johnson_V,Generic/Johnson.V,Vega
johnson_R,Generic/Johnson.R,Vega
johnson_I,Generic/Johnson.I,Vega
johnson_J,Johnson_UBVRIJHKL.J,Vega
johnson_H,Johnson_UBVRIJHKL.H,Vega
johnson_K,Johnson_UBVRIJHKL.K,Vega
johnson_LI,Johnson_UBVRIJHKL.LI,Vega
johnson_LII,Johnson_UBVRIJHKL.LII,Vega
johnson_M,Generic/Johnson.M,Vega
johnson_N,Generic/Johnson_UBVRIJHKL.N,Vega
cfht_wircam_J,CFHT/Wircam.J,Vega
cfht_wircam_H,CFHT/Wircam.H,Vega
cfht_wircam_Ks,CFHT/Wircam.Ks,Vega
cfht_wircam_W,CFHT/Wircam.W,Vega
cfht_mocan_cousins_R,CFHT/MOCAM.R,Vega
cfht_mocan_cousins_I,CFHT/MOCAM.I,Vega
wht_ingrid_J,WHT/INGRID.J,Vega
wht_ingrid_H,WHT/INGRID.H,Vega
wht_ingrid_K,WHT/INGRID.Ks,Vega
sdss_u,SLOAN/SDSS.u,AB
sdss_g,SLOAN/SDSS.g,AB
sdss_r,SLOAN/SDSS.r,AB
